--------------------------------------------------【Header】--------------------------------------------------
2022-07-23 11:29:47,724 INFO  [35964-11] DisplayManage  修改外屏亮度为：73  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:47,894 INFO  [35964-6] DisplayManage  修改外屏亮度为：43  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:48,069 INFO  [35964-12] DisplayManage  修改外屏亮度为：36  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:48,217 INFO  [35964-11] DisplayManage  修改外屏亮度为：40  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:48,368 INFO  [35964-6] DisplayManage  修改外屏亮度为：69  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:48,515 INFO  [35964-12] DisplayManage  修改外屏亮度为：78  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:48,659 INFO  [35964-11] DisplayManage  修改外屏亮度为：80  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:48,802 INFO  [35964-11] DisplayManage  修改外屏亮度为：81  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:48,951 INFO  [35964-6] DisplayManage  修改外屏亮度为：80  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:49,107 INFO  [35964-12] DisplayManage  修改外屏亮度为：34  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:49,283 INFO  [35964-12] DisplayManage  修改外屏亮度为：23  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:49,467 INFO  [35964-6] DisplayManage  修改外屏亮度为：27  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:49,617 INFO  [35964-6] DisplayManage  修改外屏亮度为：50  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:49,771 INFO  [35964-12] DisplayManage  修改外屏亮度为：68  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:49,915 INFO  [35964-11] DisplayManage  修改外屏亮度为：73  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 11:29:50,065 INFO  [35964-6] DisplayManage  修改外屏亮度为：76  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
